,
,
,
,
,
,
,
,
,
,
Date,Daily Rainfall (mm)
1/1/2014,18.8
1/2/2014,19.8
1/3/2014,0
1/4/2014,0
1/5/2014,0
1/6/2014,5
1/7/2014,20.4
1/8/2014,24.8
1/9/2014,34
1/10/2014,44.6
1/11/2014,14.4
1/12/2014,50.2
1/13/2014,9.6
1/14/2014,5.8
1/15/2014,1.6
1/16/2014,0.8
1/17/2014,0
1/18/2014,2.6
1/19/2014,1
1/20/2014,0.6
1/21/2014,0.8
1/22/2014,0.6
1/23/2014,0
1/24/2014,0
1/25/2014,0
1/26/2014,0
1/27/2014,17.6
1/28/2014,0
1/29/2014,0
1/30/2014,0
1/31/2014,2.6
2/1/2014,2.6
2/2/2014,0
2/3/2014,0
2/4/2014,0
2/5/2014,0
2/6/2014,0
2/7/2014,0
2/8/2014,0
2/9/2014,12.2
2/10/2014,13.4
2/11/2014,46.6
2/12/2014,16.8
2/13/2014,15.6
2/14/2014,3
2/15/2014,11.6
2/16/2014,19
2/17/2014,9.2
2/18/2014,12.6
2/19/2014,21.8
2/20/2014,2.4
2/21/2014,0.8
2/22/2014,4.8
2/23/2014,14.6
2/24/2014,6.8
2/25/2014,0
2/26/2014,0.8
2/27/2014,0
2/28/2014,0.4
3/1/2014,2
3/2/2014,19
3/3/2014,1
3/4/2014,2.4
3/5/2014,23.8
3/6/2014,8.6
3/7/2014,34
3/8/2014,52.4
3/9/2014,10.6
3/10/2014,2.4
3/11/2014,0
3/12/2014,2.8
3/13/2014,20.2
3/14/2014,13.8
3/15/2014,22.8
3/16/2014,5.4
3/17/2014,0.4
3/18/2014,31
3/19/2014,1.6
3/20/2014,1.6
3/21/2014,7.6
3/22/2014,2.6
3/23/2014,0
3/24/2014,4
3/25/2014,31
3/26/2014,0.2
3/27/2014,4.4
3/28/2014,23.6
3/29/2014,41.6
3/30/2014,3
3/31/2014,0
4/1/2014,0
4/2/2014,5.6
4/3/2014,20.4
4/4/2014,2.6
4/5/2014,15.9
4/6/2014,9.4
4/7/2014,13.6
4/8/2014,5.6
4/9/2014,0
4/10/2014,16.6
4/11/2014,0
4/12/2014,0
4/13/2014,0
4/14/2014,14.8
4/15/2014,20.8
4/16/2014,37.4
4/17/2014,9.8
4/18/2014,1.9
4/19/2014,21
4/20/2014,30
4/21/2014,0
4/22/2014,4.4
4/23/2014,12.8
4/24/2014,26
4/25/2014,1.8
4/26/2014,35
4/27/2014,7.2
4/28/2014,0.8
4/29/2014,0.1
4/30/2014,0
5/1/2014,0
5/2/2014,2
5/3/2014,4.6
5/4/2014,3.8
5/5/2014,0
5/6/2014,0
5/7/2014,0
5/8/2014,0
5/9/2014,0
5/10/2014,0.2
5/11/2014,0
5/12/2014,0.2
5/13/2014,0
5/14/2014,0
5/15/2014,0
5/16/2014,2.8
5/17/2014,0
5/18/2014,0
5/19/2014,0
5/20/2014,0
5/21/2014,8.2
5/22/2014,29.6
5/23/2014,0.8
5/24/2014,5.2
5/25/2014,23.4
5/26/2014,0
5/27/2014,4.4
5/28/2014,0
5/29/2014,0
5/30/2014,0
5/31/2014,0
6/1/2014,0
6/2/2014,0
6/3/2014,0
6/4/2014,0
6/5/2014,0
